p,plabel,pplabel
http://purl.obolibrary.org/obo/UBERON_0000059,large intestine,anus
http://purl.obolibrary.org/obo/UBERON_0000059,large intestine,distal anal canal
http://purl.obolibrary.org/obo/UBERON_0000059,large intestine,proximal anal canal
http://purl.obolibrary.org/obo/UBERON_0000059,large intestine,transitional anal canal
http://purl.obolibrary.org/obo/UBERON_0000059,large intestine,ileocecal valve
http://purl.obolibrary.org/obo/UBERON_0000059,large intestine,rectum
http://purl.obolibrary.org/obo/UBERON_0000059,large intestine,cecum
http://purl.obolibrary.org/obo/UBERON_0000059,large intestine,appendix
http://purl.obolibrary.org/obo/UBERON_0000059,large intestine,ascending colon
http://purl.obolibrary.org/obo/UBERON_0000059,large intestine,transverse colon
http://purl.obolibrary.org/obo/UBERON_0000059,large intestine,descending colon
http://purl.obolibrary.org/obo/UBERON_0000059,large intestine,sigmoid colon
http://purl.obolibrary.org/obo/UBERON_0000059,large intestine,splenic flexure
http://purl.obolibrary.org/obo/UBERON_0000059,large intestine,hepatic flexure
http://purl.obolibrary.org/obo/UBERON_0001245,anus,dermis
http://purl.obolibrary.org/obo/UBERON_0001245,anus,subcutaneous
http://purl.obolibrary.org/obo/UBERON_0001245,anus,epidermis
http://purl.obolibrary.org/obo/UBERON_0001245,anus,skin
http://purl.obolibrary.org/obo/UBERON_0000159,distal anal canal,lymphocyte
http://purl.obolibrary.org/obo/UBERON_0000159,distal anal canal,mucosa
http://purl.obolibrary.org/obo/UBERON_0000159,distal anal canal,epithelium
http://purl.obolibrary.org/obo/UBERON_0000159,distal anal canal,lymphcyte
http://purl.obolibrary.org/obo/UBERON_0000159,distal anal canal,mucosa
http://purl.obolibrary.org/obo/UBERON_0000159,distal anal canal,submucosa
http://purl.obolibrary.org/obo/UBERON_0000159,distal anal canal,submucosa
http://purl.obolibrary.org/obo/UBERON_0000159,distal anal canal,adventitia
http://purl.obolibrary.org/obo/UBERON_0000159,distal anal canal,lamina propria
http://purl.obolibrary.org/obo/UBERON_0000159,distal anal canal,muscularis mucosa
http://purl.obolibrary.org/obo/UBERON_0000159,distal anal canal,subserosa
http://purl.obolibrary.org/obo/UBERON_0000159,distal anal canal,muscularis propria
http://purl.obolibrary.org/obo/UBERON_0000159,distal anal canal,muscularis prorpia
http://purl.obolibrary.org/obo/UBERON_0000159,proximal anal canal,lymphocyte
http://purl.obolibrary.org/obo/UBERON_0000159,proximal anal canal,mucosa
http://purl.obolibrary.org/obo/UBERON_0000159,proximal anal canal,epithelium
